wallet,total,positions,version
0x3544D13C3F110effF1bB2F309F44FdDb899A60ED,18715104.60726463,14,1
0x8Dcb5a77D6a91bf569608847b93251E03Ec68380,16000000,1,1
0x6663c86E514ddfEb88d95F6aECED231Fd093bE12,10766666.56,1,1
0xd02E8c38a8E3db71f8b2ae30B8186d7874934e12,1250848.6286820846,1,1
0x3066AA9240a1e168c2FE2C4912D1dE5903D8e505,646133.4588626713,1,1
0x08039aeD297f5278184F0746bDEB6B5B7D1EFd43,511496.10272,1,1
0x6153690c1e7acD314b3a07ad359463Bb48c88067,270586.39999994193,1,1
0x27ea362b6Be6b7299C82F1e3F61b019a697f188b,205145.14108962053,1,1
0xD23Fa3ab7B3b16763Ba8d1B2D4D07D1f28214BD1,200211.543551,1,1
0x91A05951A0BB9885D43f6CD56C1bD611BC0B3788,153727.52352,1,1
0x80680B0670A330A99509b68b1273F93864d4Ecf4,145456.67724521164,2,1
0x4EE05f6B6B5AAC49D003E90DE1BAB138ED91477c,138289.5122770247,7,1
0xf4aB5C24C391ca533d6611F29fad0896ef7c91eB,67187.25289848488,2,1
0x27C337795022a22324188b857af777D4599560bF,50740.030869,2,1
0xc96284B619E22265DdB739a6882c5b931e97B4b4,49350.07696,1,1
0x9E4Ea11eC3CbDD90A2bA74935F3267d4CE7C5e9F,41310.86225139873,2,1
0x5FF705BE9eF81C18ebD427d9a5ce971896685655,40562.74085365205,2,1
0x4e4a88422287a04c9Dc76f78c11f85Fa8D06B099,30171.84168916096,2,1
0x07e4465c8f7A47a77761566A639C0a1CF26800dC,25477.5355243279,1,1
0x2C67457f1B335544b4F12D1c2C9CD8b8c3f3d59b,24288.555774180004,3,1
0x9aF47e339456f07a8D56271A9eC0ABCf0ecFc913,16000.109308047262,3,1
0xeBd046B828477DEf62bd8E212eb220372be8ECFa,14400.037359758544,1,1
0x6Bd73d7Ca72174511CFaf98B7DCf84781cd0df8A,13626.749989005273,2,1
0x68Fe50235230e24f17c90f8Fb0Cd4626fbD34972,9496.079031178726,2,1
0x8A9F14D4c22018921c58557505369F6E4069Ad87,8742.268747,2,1
0x83898b09E8F6C0919D4899ad462a9bd78D0f8Ab4,7998.23999819412,1,1
0x47daa3e52A0e2e88F5667ac256d96F7b1f13b48f,7770.530691892853,3,1
0x452357e1e3A4b6C7dCa2Fa44bb8B08c3816E623b,6516.01,2,1
0x0Cd7539AD9c6a7f9D515c5c5D96D926533C64267,6381.224619243321,2,1
0x14bf7F4855a4152aFbF68920F1B19E3453ad1843,5971.927999901528,2,1
0xA1f13Ec89cFCE33b68bb920F1af8717ca7cd34Ac,5640.546746003783,9,1
0xD49EEafa6BdbcC551f462c5A582959a9B7A2EFDb,5228.991026118447,3,1
0xCE9ca6386cA61b79c596a5d17702f9D3f86339b7,4799.999984,1,1
0x0956cF37C8d5cc00Ea0149ef951f041645C3b0C5,4779.702460659347,5,1
0x7cDbBCc3Bf7dfa8DB52f9fEF414865d41FF50BAD,4233.0319999027715,2,1
0xE6000fAFC407018b4E25735642a9FAa6b7949ef4,3901.781328454687,11,1
0xdbCa8dAbf95497028209d9B705dB3A5C74BfDDCB,3862.283218560782,1,1
0xB05e4599c5f9f9Df3AB50002A32B059E8aBDFF87,3842.4313595482463,2,1
0xD9C2Ff6DBD04A9Ed4d3EFdeD68Bd3766D16de26C,3606.552128,2,1
0xE9DDDDAB75354Ab7ea2365e66902CA61930796C4,3569.930096,1,1
0x3a27c991bCA45620D96Abf882Ac545A295E35a9d,3384.63368765358,1,1
0x5ab0Cf5957AE206004701fC24CD8B4f9129981f7,3129.983222032728,2,1
0x6B696c1389722729e878B17557E62F1825279969,3039.9999996479487,1,1
0x96ce0AECdD145136Bc94b3484c57ee4572064A4f,2962.387748536021,8,1
0xf8c0ae4482D6d82B4B5A1AaBc6360CC0A8b16fdF,2928.96,1,1
0x9309F561576A901382D3de7Fdd30e0904F7Eb857,2760.363425,2,1
